,CAGR,Max_Drawdown,Sharp_Ratio,Value
random,6.013321458432047,52.66209802603123,0.09925660626637536,13109.153417825699
MeanVariance,-13.643303851288726,71.11939858162864,-0.08552484689216641,7079.913433074951
MeanVariance_cd,-8.508592643282,70.45696797132713,-0.031035019172507554,8421.323616027832
CLA,-4.251076059173476,56.747894832293944,0.0010788080793277053,9654.271887779236
CLA_cd,-1.522990586242732,56.12446657960092,0.029732848762933122,10504.388851165771
HRP,5.690933868972073,37.98951977445966,0.11651882555009102,12989.764538764954
HRP_cd,5.2782681676487355,39.53886360520171,0.10703162734851687,12838.004613399507
nonconvex,5.304214085436797,44.39075424569443,0.10106221737946622,12847.511327028273
nonconvex_cd,4.566957823075715,45.25805096608001,0.09129562625544133,12579.201300621033
Benchmark,7.841939850126174,38.233873881748686,0.1406719019458515,13800.215522289276
