,CAGR,Max_Drawdown,Sharp_Ratio,Value
MeanVariance,3.370301716651516,20.975856835108587,0.13122961440732606,15833.427200317383
MeanVariance_cd,4.146449409112667,21.701235717284785,0.16307950673463056,17189.838039398193
CLA,4.483589159989717,21.22000188376392,0.16194021134517694,17811.26779174805
CLA_cd,4.115836001912606,21.311302403537397,0.16302052271897505,17134.397945404053
HRP,4.025685379936856,19.21429487477754,0.16572567390559256,16972.080184936523
HRP_cd,4.575247168095576,14.952161135825406,0.18980994566303347,17983.709796905518
nonconvex,4.057798804009925,20.400106725000395,0.1747637099495396,17029.739990234375
nonconvex_cd,4.044076644621408,20.462800967270695,0.17373501929634919,17005.08003616333
random,4.631125211078791,15.438933918797419,0.19724455011218223,18089.57986831665
Benchmark,10.806810314341224,31.432781474301883,0.2760517624462674,33955.979999999996
